CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
402,74,5,15672.405405466467,3,0,1,58402.25439397658,1
735,48,0,209834.62308900058,2,1,1,76858.11852593123,1
570,23,7,954.980664645777,1,1,0,144066.90790901566,1
406,57,7,61705.96730047556,2,0,1,109094.68694308375,0
371,29,8,185226.01403801786,2,0,0,33683.01150863453,0
320,70,8,79067.5374323267,3,0,1,192668.76268049143,1
421,88,1,25473.097016503383,2,1,1,130823.04548485028,1
766,27,1,90058.47970010697,3,0,0,155515.000875881,0
514,62,2,67598.32159613138,3,1,0,25050.498501590453,1
630,34,0,210677.97554013872,1,0,0,18941.09209740359,1
758,43,3,78336.97939628578,3,1,1,13695.129569935423,0
387,79,3,197233.1179440018,3,1,1,45870.86527695444,1
672,63,8,222968.0362026837,1,1,0,88737.59556651408,0
399,81,8,108454.35489413238,3,0,0,187806.96534653634,0
430,19,8,227485.785963598,1,0,1,96841.3352604975,1
608,71,9,94329.51349079821,2,0,1,65148.47002078059,0
643,82,6,241019.60412252703,1,1,1,116767.69816873604,0
791,68,1,22322.38113139323,3,1,0,31267.569845609956,0
713,70,9,171754.8166258107,1,0,1,125806.11929094681,1
685,53,4,123453.51011423217,3,1,0,118002.07132279563,1
491,43,3,96912.20136391176,2,1,1,160478.67634708484,1
576,46,7,158177.96968715024,1,1,1,197470.6462072346,0
460,38,1,175964.2729085828,2,0,0,57665.959626061,0
759,28,5,1090.8174125772719,3,1,0,106834.72565271452,1
613,57,4,41738.27218679968,3,0,0,182684.4272006107,1
321,28,1,178261.51265857968,2,0,1,159186.07804033984,0
552,53,9,166596.3533945516,1,0,1,102607.19758915344,1
774,76,0,241511.8762821693,1,0,1,189620.61342680777,1
358,56,7,190259.44756269574,3,0,0,20874.971768193784,1
810,71,1,237693.1769328345,2,1,1,186889.73774539097,1
775,72,6,175635.12538370173,2,0,0,19596.404552733242,1
489,41,8,74513.05215986079,1,0,0,113987.90138179003,0
543,39,8,26341.230562714118,1,0,0,179183.7801202063,1
804,86,7,195455.9658362339,1,1,1,59916.97927664754,1
430,73,9,161037.30536897897,2,1,1,99727.21479958012,0
784,50,8,12046.503098324058,1,1,0,71622.48703602367,0
320,53,1,90012.61647524458,1,1,1,190907.34424450676,0
466,37,5,239199.95387107154,3,0,0,166492.66300308725,0
573,79,3,125100.28642755031,1,0,0,144710.2871520121,1
687,43,3,108182.28400492616,1,1,1,121649.12745687066,1
